OBJECTID_1,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,CTY_FIPS,OBJECTID,countyFIPS,CountyName,State,population,NEW_DTH_PD1,DR_1,PCT_0to19,PCT_20to34,PCT_35to49,PCT_50to74,PCT_over75,DIAB_PCT,CARDIO_MR,OBESE_PCT,DR1_log,Shape_Length,Shape_Area,X,Y
1,31,109,00835876,31109,Lancaster,Lancaster County,06,H1,G4020,339,30700, ,A,2169272970,22847034,+40.7835474,-096.6886584,31109,244,31109,Lancaster County,NE,319090,1,0.416666667,26.7,25.6,17.7,24.7,5.4,8.1,186.9,29.9,-0.380211241,191498.4503,2181031463,-57758.72664,198290.8955
2,46,099,01265772,46099,Minnehaha,Minnehaha County,06,H1,G4020, ,43620, ,A,2089701439,18188795,+43.6674723,-096.7957261,46099,1076,46099,Minnehaha County,SD,193134,12,0.588812561,27.8,22.6,18.7,25.7,5.1,8.2,229.2,31.1,-0.230022934,186372.8528,2103144153,-63679.93374,519393.0386
3,39,063,01074044,39063,Hancock,Hancock County,06,H1,G4020,534,22300, ,A,1376124980,6021322,+41.0002170,-083.6659471,39063,270,39063,Hancock County,OH,75783,1,2.702702703,25.5,19.7,17.9,29.9,7.1,9.8,296.3,35.9,0.431798276,154277.0003,1375312585,1029369.275,291980.8814
4,48,189,01383880,48189,Hale,Hale County,06,H1,G4020,352,38380, ,A,2602109423,246678,+34.0684364,-101.8228879,48189,797,48189,Hale County,TX,33406,4,16,30.9,21.6,17.7,23.8,6,13.7,266,31.5,1.204119983,204211.5043,2597937997,-536591.0695,-529891.3927
5,01,027,00161539,01027,Clay,Clay County,06,H1,G4020, , , ,A,1564255426,5281616,+33.2703999,-085.8635254,1027,5,1027,Clay County,AL,13235,1,4.761904762,24.1,15.5,18.5,33.6,8.3,14.2,452,37.1,0.677780705,203930.1296,1568823905,942290.4941,-583488.8452
6,39,003,01074015,39003,Allen,Allen County,06,H1,G4020,338,30620, ,A,1042587389,11152061,+40.7716274,-084.1061032,39003,1219,39003,Allen County,OH,102351,23,19.00826446,26.2,19.3,17.4,29.7,7.3,11.7,378.9,35.8,1.278942466,148341.8019,1048399741,996248.6855,261750.8697
7,13,189,00348794,13189,McDuffie,McDuffie County,06,H1,G4020, ,12260, ,A,666590014,23114032,+33.4806126,-082.4795333,13189,748,13189,McDuffie County,GA,21312,4,8.888888889,27.4,18.4,17.5,30.1,6.5,13.6,334.4,40.4,0.948847478,150342.7796,689149846.8,1250838.162,-519344.2354
8,55,111,01581115,55111,Sauk,Sauk County,06,H1,G4020,357,12660, ,A,2153686013,45692969,+43.4280010,-089.9433184,55111,734,55111,Sauk County,WI,64442,3,6.666666667,25,17.4,18.7,31.4,7.6,8.7,295.7,34.7,0.823908741,216651.7032,2193656773,488405.9636,507811.7518
9,42,007,01214112,42007,Beaver,Beaver County,06,H1,G4020,430,38300, ,A,1125854819,24162295,+40.6841401,-080.3507209,42007,1334,42007,Beaver County,PA,163929,65,16.04938272,21.4,17.2,17.4,34.5,9.5,9.7,422.5,35.8,1.205458334,138952.7573,1144141191,1309862.412,299432.8896
10,28,061,00695754,28061,Jasper,Jasper County,06,H1,G4020,279,29860, ,A,1751636189,3130850,+32.0167482,-089.1191761,28061,211,28061,Jasper County,MS,16383,1,2.380952381,25.5,17.2,17.2,31.9,8.3,18.1,377.4,47.7,0.37675071,168414.1931,1757971354,650651.6262,-749984.5926
